"Date","Start Time","Division","Home Team","Away Team","Location"
"06/18/2022)","09:00 AM","Division 1","Black","Blue","Estuary Park"
"06/18/2022)","10:30 AM","Division 1","Red","White","Estuary Park"
"06/25/2022)","09:00 AM","Division 1","White","Blue","Estuary Park"
"06/25/2022)","10:30 AM","Division 1","Red","Green","Estuary Park"
"07/09/2022)","09:00 AM","Division 1","Black","Red","Estuary Park"
"07/09/2022)","10:30 AM","Division 1","Green","White","Estuary Park"
"07/16/2022)","09:00 AM","Division 1","Black","Green","Estuary Park"
"07/16/2022)","10:30 AM","Division 1","Blue","Red","Estuary Park"
"07/23/2022)","09:00 AM","Division 1","White","Black","Estuary Park"
"07/23/2022)","10:30 AM","Division 1","Blue","Green","Estuary Park"
"07/30/2022)","09:00 AM","Division 1","White","Red","Estuary Park"
"07/30/2022)","10:30 AM","Division 1","Blue","Black","Estuary Park"
"08/06/2022)","09:00 AM","Division 1","Green","Red","Estuary Park"
"08/06/2022)","10:30 AM","Division 1","Blue","White","Estuary Park"
"08/13/2022)","09:00 AM","Division 1","White","Green","Estuary Park"
"08/13/2022)","10:30 AM","Division 1","Red","Black","Estuary Park"
"08/20/2022)","09:00 AM","Division 1","Red","Blue","Estuary Park"
"08/20/2022)","10:30 AM","Division 1","Green","Black","Estuary Park"
"08/27/2022)","09:00 AM","Division 1","Green","Blue","Estuary Park"
"08/27/2022)","10:30 AM","Division 1","Black","White","Estuary Park"
"09/10/2022)","09:00 AM","Division 1","Black","Blue","Estuary Park"
"09/10/2022)","10:30 AM","Division 1","Red","White","Estuary Park"
"09/17/2022)","09:00 AM","Division 1","White","Blue","Estuary Park"
"09/17/2022)","10:30 AM","Division 1","Red","Green","Estuary Park"
"09/24/2022)","09:00 AM","Division 1","Black","Red","Estuary Park"
"09/24/2022)","10:30 AM","Division 1","Green","White","Estuary Park"
